COCC(=O)Nc1cccc(NC(C)=O)c1,16,6,COCC(O)NC1CCCC(NC(C)O)C1,Z31735562,EM;MOL;F2
CC(=O)Nc1ccccc1,10,6,CC(O)NC1CCCCC1,,F2
c1ccccc1,6,6,C1CCCCC1,,F2
CC(N)=O,4,0,CC(N)O,,F2
CC(N)=O.COCC(N)=O,10,0,CC(N)O.COCC(N)O,,F2
COCC(N)=O,6,0,COCC(N)O,,F2
COCC(=O)Nc1ccccc1,12,6,COCC(O)NC1CCCCC1,,F2
CCC(=O)NC1CCNC1,10,5,CCC(O)NC1CCCC1,Z1650040241,EM;MOL;F2
CCC(N)=O,5,0,CCC(N)O,,F2
C1CCNC1,5,5,C1CCCC1,,F2
COCC(=O)Nc1nnc(C)s1,12,5,COCC(O)NC1CCC(C)C1,Z263785508,EM;MOL;F2
Cc1nncs1,6,5,CC1CCCC1,,F2
c1nncs1,5,5,C1CCCC1,,F2
C,1,0,C,,F2
C.COCC(N)=O,7,0,C.COCC(N)O,,F2
COCC(=O)Nc1nncs1,11,5,COCC(O)NC1CCCC1,,F2
CC(=O)Nc1cccc(NC(=O)Nc2ccn(CCC#N)n2)c1,23,11,CC(O)NC1CCCC(NC(O)NC2CCC(CCCN)C2)C1,Z1277924925,EM;MOL;F2
N#CCCn1ccc(NC(=O)Nc2ccccc2)n1,19,11,NCCCC1CCC(NC(O)NC2CCCCC2)C1,,F2
O=C(Nc1ccccc1)Nc1cc[nH]n1,15,11,OC(NC1CCCCC1)NC1CCCC1,,F2
c1ccccc1.c1cn[nH]c1,11,11,C1CCCC1.C1CCCCC1,,F2
c1cn[nH]c1,5,5,C1CCCC1,,F2
NC(=O)Nc1cc[nH]n1,9,5,NC(O)NC1CCCC1,,F2
NC(N)=O,4,0,NC(N)O,,F2
NC(=O)Nc1ccccc1,10,6,NC(O)NC1CCCCC1,,F2
CCC#N.NC(=O)Nc1ccccc1,14,6,CCCN.NC(O)NC1CCCCC1,,F2
CCC#N.c1ccccc1,10,6,C1CCCCC1.CCCN,,F2
CCC#N,4,0,CCCN,,F2
